iter	Passed	Remaining
675	1862	892
676	1865	890
677	1868	887
678	1870	884
679	1873	881
680	1875	878
681	1877	875
682	1880	872
683	1883	870
684	1886	867
685	1888	864
686	1891	861
687	1893	858
688	1896	856
689	1899	853
690	1902	850
691	1906	848
692	1909	845
693	1912	843
694	1914	840
695	1916	837
696	1920	834
697	1922	831
698	1925	829
699	1928	826
700	1931	823
701	1933	820
702	1935	817
703	1938	814
704	1940	811
705	1942	809
706	1945	806
707	1947	803
708	1950	800
709	1953	797
710	1955	794
711	1958	792
712	1960	789
713	1962	786
714	1965	783
715	1967	780
716	1969	777
717	1972	774
718	1974	771
719	1976	768
720	1978	765
721	1980	762
722	1983	760
723	1986	757
724	1988	754
725	1991	751
726	1993	748
727	1996	745
728	1999	743
729	2001	740
730	2004	737
731	2006	734
732	2008	731
733	2011	728
734	2013	726
735	2016	723
736	2018	720
737	2020	717
738	2023	714
739	2027	712
740	2029	709
741	2032	706
742	2034	703
743	2037	700
744	2039	698
745	2041	695
746	2044	692
747	2046	689
748	2049	686
749	2051	683
750	2054	681
751	2056	678
752	2058	675
753	2060	672
754	2063	669
755	2065	666
756	2068	663
757	2070	660
758	2072	658
759	2075	655
760	2077	652
761	2080	649
762	2082	646
763	2085	644
764	2087	641
765	2089	638
766	2092	635
767	2095	632
768	2097	630
769	2099	627
770	2101	624
771	2104	621
772	2106	618
773	2109	615
774	2111	612
775	2113	610
776	2115	607
777	2118	604
778	2121	601
779	2123	598
780	2125	595
781	2127	593
782	2130	590
783	2132	587
784	2135	584
785	2137	582
786	2141	579
787	2143	576
788	2145	573
789	2147	570
790	2150	568
791	2152	565
792	2155	562
793	2158	559
794	2160	557
795	2163	554
796	2165	551
797	2168	548
798	2171	546
799	2174	543
800	2177	540
801	2179	538
802	2182	535
803	2184	532
804	2187	529
805	2190	527
806	2192	524
807	2195	521
808	2198	518
809	2200	516
810	2203	513
811	2206	510
812	2208	508
813	2211	505
814	2213	502
815	2216	499
816	2218	496
817	2221	494
818	2224	491
819	2226	488
820	2229	486
821	2232	483
822	2236	480
823	2238	478
824	2240	475
825	2243	472
826	2246	469
827	2248	467
828	2250	464
829	2253	461
830	2256	458
831	2258	455
832	2260	453
833	2262	450
834	2265	447
835	2268	444
836	2280	444
837	2283	441
838	2285	438
839	2289	436
840	2291	433
841	2296	430
842	2300	428
843	2302	425
844	2305	422
845	2307	420
846	2309	417
847	2312	414
848	2314	411
849	2316	408
850	2319	406
851	2321	403
852	2323	400
853	2326	397
854	2328	394
855	2331	392
856	2333	389
857	2335	386
858	2337	383
859	2339	380
860	2341	378
861	2344	375
862	2346	372
863	2348	369
864	2350	366
865	2353	364
866	2355	361
867	2357	358
868	2359	355
869	2362	353
870	2365	350
871	2367	347
872	2370	344
873	2372	342
874	2374	339
875	2377	336
876	2379	333
877	2381	330
878	2383	328
879	2385	325
880	2388	322
881	2389	319
882	2392	316
883	2394	314
884	2396	311
885	2399	308
886	2401	305
887	2403	303
888	2405	300
889	2408	297
890	2410	294
891	2412	292
892	2415	289
893	2417	286
894	2420	283
895	2422	281
896	2424	278
897	2426	275
898	2429	272
899	2431	270
900	2433	267
901	2436	264
902	2438	261
903	2440	259
904	2444	256
905	2446	253
906	2449	251
907	2452	248
908	2454	245
909	2457	243
910	2460	240
911	2462	237
912	2465	234
913	2467	232
914	2470	229
915	2473	226
916	2475	224
917	2477	221
918	2480	218
919	2482	215
920	2485	213
921	2488	210
922	2491	207
923	2494	205
924	2496	202
925	2499	199
926	2502	197
927	2505	194
928	2508	191
929	2510	188
930	2513	186
931	2515	183
932	2519	180
933	2522	178
934	2524	175
935	2527	172
936	2530	170
937	2534	167
938	2537	164
939	2540	162
940	2543	159
941	2546	156
942	2550	154
943	2553	151
944	2556	148
945	2559	146
946	2561	143
947	2564	140
948	2567	137
949	2570	135
950	2572	132
951	2575	129
952	2578	127
953	2580	124
954	2583	121
955	2586	119
956	2589	116
957	2591	113
958	2594	110
959	2596	108
960	2599	105
961	2601	102
962	2606	100
963	2610	97
964	2614	94
965	2617	92
966	2620	89
967	2624	86
968	2628	84
969	2632	81
970	2634	78
971	2637	75
972	2640	73
973	2643	70
974	2646	67
975	2649	65
976	2654	62
977	2657	59
978	2659	57
979	2663	54
980	2667	51
981	2670	48
982	2675	46
983	2678	43
984	2681	40
985	2683	38
986	2686	35
987	2689	32
988	2692	29
989	2696	27
990	2699	24
991	2703	21
992	2705	19
993	2707	16
994	2711	13
995	2714	10
996	2717	8
997	2719	5
998	2722	2
999	2724	0
